km,brand,fuel,gear,price,cv,year
79100,Nissan,Gasoline,Manual,6199,81,2015
87370,Skoda,Gasoline,Manual,6199,87,2015
157300,Fiat,Gasoline,Manual,6200,78,2015
61880,Renault,Gasoline,Manual,6200,72,2015
45000,Nissan,Gasoline,Manual,6200,81,2015
132000,Ford,Diesel,Manual,6250,96,2015
77559,Opel,Gasoline,Manual,6290,70,2015
42000,Ford,Gasoline,Manual,13790,122,2016
147000,Bmw,Diesel,Manual,13999,193,2016
88250,Opel,Diesel,Manual,14390,138,2016
106000,Opel,Diesel,Automatic,14750,172,2016
46100,Opel,Diesel,Manual,14950,138,2016
52500,Opel,Diesel,Manual,15250,138,2016
142000,Bmw,Diesel,Automatic,16490,262,2016
38500,Volkswagen,Gasoline,Manual,16500,112,2016
136498,Ford,Diesel,Automatic,18450,181,2016
112300,Audi,Diesel,Automatic,18450,193,2016
12600,Ford,Diesel,Manual,19900,157,2016
210000,Bmw,Diesel,Automatic,19900,262,2016
9350,Mercedes-Benz,Gasoline,Manual,19950,124,2016
34300,Mercedes-Benz,Gasoline,Automatic,20899,103,2016
139500,Bmw,Diesel,Automatic,21700,262,2016
133500,Audi,Diesel,Automatic,22350,276,2016
93500,Bmw,Diesel,Automatic,23999,187,2016
188500,Bmw,Diesel,Automatic,24499,317,2016
98500,Volkswagen,Diesel,Manual,28850,103,2016
16500,Mercedes-Benz,Diesel,Automatic,30888,197,2017
67500,Mercedes-Benz,Diesel,Automatic,30888,197,2017
49000,Ford,Gasoline,Manual,30900,354,2017
49500,Mercedes-Benz,Gasoline,Automatic,31290,214,2017
59658,Mercedes-Benz,Gasoline,Automatic,31487,248,2017
27000,Ford,Diesel,Automatic,31690,181,2017
53501,Volvo,Diesel,Automatic,31899,193,2017
67000,Mercedes-Benz,Gasoline,Automatic,31900,386,2017
50000,Mercedes-Benz,Diesel,Automatic,32666,207,2017
27491,Ford,Gasoline,Manual,32900,354,2017
45000,Audi,Gasoline,Automatic,32900,314,2017
71494,Mercedes-Benz,Diesel,Automatic,32980,262,2017
36977,Volvo,Gasoline,Automatic,33280,258,2017
22181,Volvo,Diesel,Automatic,33590,223,2017
29973,Audi,Gasoline,Automatic,33650,256,2017
86900,Volvo,Diesel,Automatic,33749,238,2017
86419,Audi,Diesel,Automatic,33920,193,2017
113000,Audi,Diesel,Automatic,33990,331,2017
43990,Volvo,Diesel,Automatic,34760,223,2017
38951,Mercedes-Benz,Diesel,Automatic,36490,207,2017
32000,Cupra,Gasoline,Automatic,33900,304,2018
125000,Mercedes-Benz,Diesel,Automatic,33980,165,2018
51050,Bmw,Diesel,Automatic,33990,193,2018
87107,Audi,Diesel,Automatic,34400,276,2018
27586,Audi,Gasoline,Automatic,34589,193,2018
74426,Audi,Diesel,Automatic,34820,165,2018
87582,Audi,Diesel,Automatic,34820,221,2018
